Accelerometr_X,Accelerometr_Y,Accelerometr_Z,Accelerometer_Mean,Accelerometr_Std_X,Accelerometr_Std_Y,Accelerometr_Std_Z,Audio level mean,Light sensor mean,Light sensor std,Proximity,Screen mode,Sleeping,Timing,2 min long 
-2430,1010,3758,4587.76,4143,9194,1062,69,183,184,1,off,0,,
-28552,-13812,-6519,32380.32,11984,10499,23185,52,228,229,1,off,0,,
-20399,-6914,-9268,23448.21,6361,7298,15423,64,194,195,1,off,0,,
-2980,1923,1098,3712.67,7969,7087,998,85,261,262,0,on,0,,
-2071,-5866,-4774,7841.56,17473,6708,12539,58.6,182,183,0,on,0,,
-9322,1321,-4559,10460.84,9336,8161,9659,98.5,423,424,0,off,0,,
-1877,-9823,-5420,11375.01,11901,5871,8665,62,465,466,1,off,0,,
-5395,885,1590,5693.62,2905,7905,8430,55,125,126,1,off,0,,
-7779,-10957,-4165,14068.26,11040,11006,9032,71,127,128,1,off,0,,
-1411,-9618,-6467,11675.57,14015,7218,8392,47.5,320,321,1,off,0,,
-11253,-8074,-4677,14618.27,7681,7173,13728,87,155,156,0,on,0,,
-2037,-13334,-4763,14304.93,12004,6906,6555,57,120,121,0,on,0,,
-11979,-7766,-6062,15509.84,1103,8444,8782,49,912,913,0,off,0,,
-12837,-10886,-3483,17187.93,11052,7266,10989,74.6,815,816,0,on,0,,
-32764,-32164,-32185,56070.28,17892,10813,18272,48,452,453,1,off,0,,
-2030,-6039,-1981,6671.94,10782,6931,8914,95,473,474,0,off,0,,
-10944,-4261,-3908,12377.39,3982,8095,8703,46,430,431,0,on,0,,
-8584,-570,-2806,9048.96,6356,8899,12219,88,620,621,1,off,0,,
-5581,-586,-4080,6938.11,6736,7635,9636,64,659,660,1,off,0,,
-8367,-5044,-2977,10213.28,14701,6583,10454,57.4,821,822,1,off,0,,
-7459,-9074,-3941,12389.74,11582,7904,10387,49,116,117,0,on,0,,
-12932,83,-2376,13148.72,7731,10213,9402,92,388,389,0,on,0,,
-9153,912,-2285,9477.89,8281,9143,10606,76,145,146,0,off,0,,
7199,2529,-2492,8026.92,5601,10477,10149,52,274,275,1,off,0,,
-4477,-1064,2666,5318.19,12221,6918,10316,67,939,940,1,off,0,,
-7264,259,-2528,7695.68,2014,8435,9559,93,465,466,1,off,0,,
-4054,2790,-1850,5257.52,7064,9104,10275,49.6,921,922,0,on,0,,
-849,4061,-3727,5577.01,8010,5209,4080,76,236,237,0,off,0,,
-5723,3492,-1085,6791.47,8230,8669,5688,61,816,817,0,on,0,,
-7431,-174,1708,7626.75,2126,8507,10610,58,425,426,0,off,0,,
-3280,-1722,1772,4106.54,7169,7734,10719,91,845,846,0,off,0,,
-10958,-5595,-4075,12961.00,2602,7872,10414,54,1266,1267,1,off,0,,
-5913,-4013,-4007,8192.91,12619,8434,6771,75,212,213,1,off,0,,
-1882,-6685,1900,7200.08,9592,7242,9260,87,204,205,0,on,0,,
-4097,1243,3989,5851.72,4241,6558,8969,63,1070,1071,0,off,0,,
-2840,1997,4501,5684.42,1398,6872,10509,58,1344,1345,0,on,0,,
-3901,-631,-831,4038.13,10234,7833,8542,98,448,449,1,off,0,,
-9926,-3588,-7903,13185.47,11165,8282,8298,84,303,304,1,off,0,,
-12742,-6538,-1882,14444.58,7967,7621,10353,60,545,546,0,off,0,,
-11422,-8970,-7681,16429.26,14602,9797,21997,72,123,124,1,off,0,,
-2330,1110,3858,4641.68,4243,9294,1162,70,193,194,1,off,0,,
-28452,-13712,-6419,32229.47,12084,10599,23285,53,238,239,1,off,0,,
-20299,-6814,-9168,23292.32,6461,7398,15523,65,204,205,1,off,0,,
-2880,2023,1198,3717.81,8069,7187,1098,86,271,272,0,on,0,,
-1971,-5766,-4674,7679.71,17573,6808,12639,59.6,192,193,0,on,0,,
-9222,1421,-4459,10341.53,9436,8261,9759,99.5,433,434,0,on,0,,
-1777,-9723,-5320,11224.83,12001,5971,8765,63,475,476,1,off,0,,
-5295,985,1690,5644.76,3005,8005,8530,56,135,136,1,off,0,,
-7679,-10857,-4065,13905.60,11140,11106,9132,72,137,138,1,off,0,,
-1311,-9518,-6367,11526.05,14115,7318,8492,48.5,330,331,1,off,0,,
-11153,-7974,-4577,14454.17,7781,7273,13828,88,165,166,0,on,0,,
-1937,-13234,-4663,14164.54,12104,7006,6655,58,130,131,0,on,0,,
-11879,-7666,-5962,15343.52,1203,8544,8882,50,922,923,0,off,0,,
-12737,-10786,-3383,17029.79,11152,7366,11089,75.6,825,826,0,on,0,,
-32664,-32064,-32085,55897.09,17992,10913,18372,49,462,463,1,off,0,,
-1930,-5939,-1881,6521.87,10882,7031,9014,96,483,484,0,on,0,,
-10844,-4161,-3808,12223.22,4082,8195,8803,47,440,441,0,off,0,,
-8484,-470,-2706,8917.49,6456,8999,12319,89,630,631,1,off,0,,
-5481,-486,-3980,6791.02,6836,7735,9736,65,669,670,1,off,0,,
-8267,-4944,-2877,10053.04,14801,6683,10554,58.4,831,832,1,off,0,,
-7359,-8974,-3841,12224.60,11682,8004,10487,50,126,127,0,on,0,,
-12832,183,-2276,13033.57,7831,10313,9502,93,398,399,0,on,0,,
-9053,1012,-2185,9367.77,8381,9243,10706,77,155,156,0,on,0,,
7299,2629,-2392,8118.42,5701,10577,10249,53,284,285,1,off,0,,
-4377,-964,2766,5266.70,12321,7018,10416,68,949,950,1,off,0,,
-7164,359,-2428,7572.78,2114,8535,9659,94,475,476,1,off,0,,
-3954,2890,-1750,5200.84,7164,9204,10375,50.6,931,932,0,off,0,,
-749,4161,-3627,5570.46,8110,5309,4180,77,246,247,0,on,0,,
-5623,3592,-985,6744.69,8330,8769,5788,62,826,827,0,on,0,,
-7331,-74,1808,7551.02,2226,8607,10710,59,435,436,0,on,0,,
-3180,-1622,1872,4030.84,7269,7834,10819,92,855,856,0,off,0,,
-10858,-5495,-3975,12802.02,2702,7972,10514,55,1276,1277,1,off,0,,
-5813,-3913,-3907,8022.92,12719,8534,6871,76,222,223,1,off,0,,
-1782,-6585,2000,7108.99,9692,7342,9360,88,214,215,0,off,0,,
-3997,1343,4089,5873.63,4341,6658,9069,64,1080,1081,0,off,0,,
-2740,2097,4601,5751.02,1498,6972,10609,59,1354,1355,0,on,0,,
-3801,-531,-731,3906.91,10334,7933,8642,99,458,459,1,off,0,,
-9826,-3488,-7803,13023.18,11265,8382,8398,85,313,314,1,off,0,,
-12642,-6438,-1782,14298.38,8067,7721,10453,61,555,556,0,off,0,,
-11322,-8870,-7581,16258.42,14702,9897,22097,73,133,134,1,off,0,,
-2095,1345,4093,4790.69,4478,9529,1397,68,213,214,1,off,0,,
-28217,-13477,-6184,31875.86,12319,10834,23520,51,258,259,1,off,0,,
-20064,-6579,-8933,22926.97,6696,7633,15758,63,224,225,1,off,0,,
-2645,2258,1433,3761.39,8304,7422,1333,84,291,292,0,on,0,,
-1736,-5531,-4439,7301.40,17808,7043,12874,57.6,212,213,0,off,0,,
-8987,1656,-4224,10067.31,9671,8496,9994,97.5,453,454,0,off,0,,
-1542,-9488,-5085,10874.61,12236,6206,9000,61,495,496,1,off,0,,
-5060,1220,1925,5549.56,3240,8240,8765,54,155,156,1,off,0,,
-7444,-10622,-3830,13524.38,11375,11341,9367,70,157,158,1,off,0,,
-1076,-9283,-6132,11177.36,14350,7553,8727,46.5,350,351,1,off,0,,
-10918,-7739,-4342,14069.39,8016,7508,14063,86,185,186,0,on,0,,
-1702,-12999,-4428,13837.56,12339,7241,6890,56,150,151,0,off,0,,
-11644,-7431,-5727,14953.29,1438,8779,9117,48,942,943,0,on,0,,
-12502,-10551,-3148,16659.34,11387,7601,11324,73.6,845,846,0,off,0,,
-32429,-31829,-31850,55490.07,18227,11148,18607,47,482,483,1,off,0,,
-1695,-5704,-1646,6173.97,11117,7266,9249,94,503,504,0,off,0,,
-10609,-3926,-3573,11863.00,4317,8430,9038,45,460,461,0,on,0,,
-8249,-235,-2471,8614.35,6691,9234,12554,87,650,651,1,off,0,,
-5246,-251,-3745,6450.47,7071,7970,9971,63,689,690,1,off,0,,
-8032,-4709,-2642,9678.22,15036,6918,10789,56.4,851,852,1,off,0,,
-7124,-8739,-3606,11837.43,11917,8239,10722,48,146,147,0,on,0,,
-12597,418,-2041,12768.12,8066,10548,9737,91,418,419,0,on,0,,
-8818,1247,-1950,9116.72,8616,9478,10941,75,175,176,0,off,0,,
7534,2864,-2157,8343.64,5936,10812,10484,51,304,305,1,off,0,,
-4142,-729,3001,5166.59,12556,7253,10651,66,969,970,1,off,0,,
-6929,594,-2193,7291.99,2349,8770,9894,92,495,496,1,off,0,,
-3719,3125,-1515,5088.40,7399,9439,10610,48.6,951,952,0,off,0,,
-514,4396,-3392,5576.26,8345,5544,4415,75,266,267,0,off,0,,
-5388,3827,-750,6651.24,8565,9004,6023,60,846,847,0,on,0,,
-7096,161,2043,7386.00,2461,8842,10945,57,455,456,0,off,0,,
-2945,-1387,2107,3877.66,7504,8069,11054,90,875,876,0,on,0,,
-10623,-5260,-3740,12429.94,2937,8207,10749,53,1296,1297,1,off,0,,
-5578,-3678,-3672,7624.00,12954,8769,7106,74,242,243,1,off,0,,
-1547,-6350,2235,6907.31,9927,7577,9595,86,234,235,0,off,0,,
-3762,1578,4324,5944.72,4576,6893,9304,62,1100,1101,0,off,0,,
-2505,2332,4836,5924.54,1733,7207,10844,57,1374,1375,0,on,0,,
-3566,-296,-496,3612.48,10569,8168,8877,97,478,479,1,off,0,,
-9591,-3253,-7568,12642.94,11500,8617,8633,83,333,334,1,off,0,,
-12407,-6203,-1547,13957.22,8302,7956,10688,59,575,576,0,on,0,,
-11087,-8635,-7346,15857.13,14937,10132,22332,71,153,154,1,off,0,,
-143,54,7483,7484.56,21,386,8389,69,187,188,0,off,1,,
-43,-2,7980,7980.12,-5,40,8086,52,232,233,0,off,1,,
-45,-10,7518,7518.14,58,223,8167,64,198,199,0,off,1,,
